COMID,min,max,mean,median
71028027,1207.40002441406,1469.80004882812,1281.97412109375,1281.0756050938
71028039,1222.09997558594,2091.90014648438,1347.12866210938,1317.59021455304
71028054,1275.09997558594,2606.69995117188,1628.22412109375,1560.2803801837
71028062,1123.59997558594,1344.40002441406,1226.13061523438,1220.31967270047
71028073,1291.90002441406,2684,1729.2607421875,1669.78372640605
71028095,1293.30004882812,2958.30004882812,1713.90747070312,1610.9207552601
71028097,1192.09997558594,1334,1252.41613769531,1251.76134828945
71028132,1236.90002441406,1376,1286.51721191406,1286.6429240114
71028140,1304.59997558594,2978.80004882812,1699.36499023438,1529.7165923452
71028159,1329.5,2928.19995117188,1793.34838867188,1711.65745740831
71028189,1338,2922.40014648438,1542.95373535156,1393.82807091823
71028215,1280.90002441406,2405.80004882812,1492.68701171875,1444.12228887606
71028221,1360.70007324219,2950.60009765625,1847.58850097656,1739.79666611998
71028249,1275,1995.30004882812,1388.85290527344,1340.12677234223
71028304,1329.59997558594,2310.40014648438,1623.84289550781,1567.43092944293
71028311,1465.70007324219,3086.60009765625,2028.33605957031,2004.51273448536
71028377,1402.30004882812,2475.69995117188,1725.93371582031,1715.47715657385
71028380,1401.30004882812,2226,1732.60510253906,1702.17225048539
71028490,975.299987792969,1066.40002441406,1013.16345214844,1008.28635203768
71028494,998.299987792969,1138.40002441406,1063.7158203125,1067.54620223037
71028498,1024.70007324219,1210.70007324219,1098.30834960938,1084.16194526896
71028505,1050,1214.30004882812,1128.09899902344,1128.73733006167
71028510,1091.70007324219,1192.5,1131.41467285156,1129.67927688191
71028524,943.400024414062,987.900024414062,959.388793945312,955.734559555685
71028526,1106.59997558594,1302.5,1169.39892578125,1166.70229229577
71028531,949.700012207031,1004.20001220703,967.169799804688,962.239324396307
71028546,959.400024414062,1079.30004882812,1004.84796142578,994.287844519536
71028558,1173.90002441406,1452,1310.57568359375,1307.49323745869
71028580,978.299987792969,1163.70007324219,1051.34826660156,1047.99748861412
71028585,1360.70007324219,2256.90014648438,1540.53430175781,1428.63520482869
71028597,1380.20007324219,2508.90014648438,1606.42224121094,1472.1107291648
71028598,1252.70007324219,1689.30004882812,1411.45361328125,1398.21796963526
71028609,1380.30004882812,2757.90014648438,1851.7880859375,1856.58921691928
71028657,1334.5,1978.30004882812,1553.43395996094,1547.72578361308
71028663,1414.90002441406,1737.40002441406,1499.02526855469,1505.97769624893
71028675,1007.90002441406,1097.59997558594,1048.29296875,1051.8611561502
71028676,1380.5,2955.80004882812,1887.36267089844,1853.65979142071
71028681,1106.5,1124.30004882812,1111.91577148438,1111.49999999999
71028685,1426.20007324219,1772.20007324219,1520.55676269531,1504.09440358867
71028699,1457.20007324219,1683.59997558594,1518.42224121094,1506.53874328476
71028700,1408.30004882812,2755.10009765625,1655.12658691406,1511.32829118952
71028722,1007.90002441406,1193.09997558594,1102.31909179688,1097.20969329484
71028727,1025,1232.40002441406,1118.90185546875,1115.63625802682
71028734,1110.30004882812,1224.30004882812,1155.66735839844,1152.59668606332
71028740,1415.80004882812,2854.90014648438,1918.70886230469,1916.32947914161
71028757,1189.5,1387.20007324219,1268.83703613281,1266.1582521685
71028795,1015.20001220703,1139.40002441406,1059.26416015625,1057.22901059244
71028833,1216.30004882812,1617.90002441406,1381.46923828125,1372.02493326526
71028835,1033.20007324219,1101.90002441406,1057.419921875,1056.0663215872
71028847,1470.20007324219,2508.5,1775.72058105469,1732.63266024927
71028852,1430.5,2988.40014648438,1858.00366210938,1729.82381284373
71028865,1554.70007324219,2457.30004882812,1817.56420898438,1744.4476405713
71028867,1075.40002441406,1286.20007324219,1167.39636230469,1162.90571575281
71028893,1041.20007324219,1132.09997558594,1081.08898925781,1081.73916266946
71028904,1486.59997558594,2816.19995117188,1826.9384765625,1720.91311805586
