COMID,frac_1,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19,majority
71025219,0.0,0.0,0.0,0.15941332071624723,0.0,0.0,0.8405866792837527,0.0,0.0,0.0,0.0,15
71025298,0.0,0.0,0.0,0.07231472433961786,0.0,0.0,0.8729867302658175,0.0,0.054698545394564674,0.0,0.0,15
71025323,0.0,0.0,0.0,0.0,0.0,0.0,0.6766799488451195,0.0,0.2418150043828678,0.08150504677201272,0.0,15
71025411,0.0,0.0,0.0,0.07743568012870275,0.0,0.0,0.9225643198712973,0.0,0.0,0.0,0.0,15
71025440,0.0,0.0,0.0,0.19345374732033443,0.0,0.11684637939280035,0.6896998732868652,0.0,0.0,0.0,0.0,15
71025547,0.0,0.0,0.0,0.061060732751604604,0.0,0.0,0.5359130689065859,0.0,0.0,0.4030261983418096,0.0,15
71025568,0.0,0.0,0.0,0.06784413925253237,0.0,0.0,0.9321558607474677,0.0,0.0,0.0,0.0,15
71025583,0.0884349123618739,0.0,0.0,0.1651676731709212,0.0,0.12335831351324555,0.6230391009539594,0.0,0.0,0.0,0.0,15
71025693,0.0,0.0,0.07203219288684047,0.11573253912771299,0.0,0.0,0.7294043459201973,0.0,0.0,0.08283092206524932,0.0,15
71025799,0.06932552521417554,0.0,0.06452446984906664,0.23006360493714254,0.0,0.0,0.6360863999996152,0.0,0.0,0.0,0.0,15
71025839,0.0,0.0,0.0850720660058998,0.282963184524486,0.0,0.0,0.6319647494696141,0.0,0.0,0.0,0.0,15
71025869,0.0,0.0,0.0,0.07170217555168754,0.0,0.0,0.8576783872896985,0.0,0.07061943715861405,0.0,0.0,15
71025911,0.08105421959974227,0.0,0.10128014391625154,0.23875132179310501,0.0,0.09591590989049796,0.4829984048004031,0.0,0.0,0.0,0.0,15
71026015,0.2749058647081927,0.0,0.08021307722778029,0.21645485313323037,0.0,0.11172684479540351,0.31669936013539307,0.0,0.0,0.0,0.0,15
71026036,0.07268898651431266,0.0,0.10045287146660101,0.22110803952237829,0.0,0.08211443553968847,0.5236356669570196,0.0,0.0,0.0,0.0,15
71026037,0.11508622022523753,0.0,0.07153675572834853,0.19301466164557768,0.0,0.0852193014114669,0.5351430609893693,0.0,0.0,0.0,0.0,15
71026134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15
71026193,0.0,0.0,0.0,0.06458963412873575,0.0,0.06331781368594795,0.8720925521853163,0.0,0.0,0.0,0.0,15
71026196,0.06516422156489611,0.0880273189259995,0.14849792395864705,0.2554077537530969,0.0,0.10402088789025628,0.3388818939071042,0.0,0.0,0.0,0.0,15
71026344,0.14244273018369402,0.054091804403594,0.18416808146376043,0.16870093804599626,0.0,0.16492349768175024,0.285672948221205,0.0,0.0,0.0,0.0,15
71026572,0.29697725589878476,0.05904629197102728,0.17459689002978232,0.12485562311410191,0.0,0.1491132576174411,0.1954106813688627,0.0,0.0,0.0,0.0,1
71026700,0.4251306684759182,0.08740880850744216,0.24761073425146418,0.08550170613210253,0.0,0.1543480826330729,0.0,0.0,0.0,0.0,0.0,1
71026853,0.3468404435351046,0.0,0.3027000518695763,0.15357880923347675,0.0,0.13999396181583001,0.05688673354601227,0.0,0.0,0.0,0.0,1
71027942,0.0,0.0,0.0,0.13299121398047203,0.14324180844290763,0.0,0.05452181260325152,0.0,0.6692451649733688,0.0,0.0,17
71027957,0.0,0.0,0.0,0.23423469541633202,0.4103812287066611,0.0,0.223935671146776,0.0,0.13144840473023087,0.0,0.0,10
71027962,0.0,0.0,0.0,0.16713406822232862,0.2518826457642936,0.0,0.0,0.0,0.4862308527291212,0.09475243328425663,0.0,17
71027963,0.0,0.0,0.0,0.15250835253671835,0.34379204565089744,0.0,0.06301628577351606,0.0,0.4406833160388681,0.0,0.0,17
71027969,0.0,0.0,0.0,0.4446319197714448,0.347057852589419,0.0,0.20831022763913623,0.0,0.0,0.0,0.0,8
71027979,0.0,0.0,0.0,0.44369969775357915,0.40132237150232214,0.0,0.1549779307440987,0.0,0.0,0.0,0.0,8
71027981,0.0,0.0,0.0,0.4960903443438203,0.33729995361823534,0.0,0.0,0.0,0.09945082095599289,0.06715888108195156,0.0,8
71027992,0.0,0.0,0.0,0.5539782261521597,0.3655037298534078,0.0,0.0,0.0,0.0,0.08051804399443255,0.0,8
71028007,0.10809787976231962,0.0,0.0,0.4301280969329486,0.2756093662626203,0.0,0.0,0.0,0.062016939623642554,0.12414771741846899,0.0,8
71028014,0.08798805898130536,0.0,0.0,0.3242372057565037,0.3598368527002228,0.0,0.0,0.0,0.2279378825619681,0.0,0.0,10
71028023,0.20024423665353033,0.0,0.0,0.3459530208242573,0.31539449263965935,0.0,0.0,0.0,0.13840824988255299,0.0,0.0,8
71028027,0.14866130688059526,0.0,0.0,0.18810489351312484,0.4704114287631266,0.0,0.0,0.0,0.19282237084315332,0.0,0.0,10
71028039,0.3239054768178598,0.0,0.0,0.4414498251068814,0.17382425824371867,0.0,0.0,0.0,0.0,0.06082043983154001,0.0,8
71028054,0.5260269922860481,0.0,0.0,0.10516948882017066,0.13629153139577121,0.0,0.0,0.23251198749800994,0.0,0.0,0.0,1
71028062,0.0,0.0,0.0,0.4576154749372919,0.301014111214513,0.0,0.24137041384819516,0.0,0.0,0.0,0.0,8
71028073,0.4658927253616371,0.0,0.0,0.0,0.09099834118904844,0.0,0.0,0.30451185877599457,0.06675120276259126,0.07184587191072854,0.0,1
71028095,0.5808249394053401,0.0,0.0,0.054667244916384014,0.07731276653675571,0.0,0.0,0.21195749700175484,0.07523755213976528,0.0,0.0,1
