COMID,frac_3,frac_8,majority
71032896,1.0,0.0,3
71032903,1.0,0.0,3
71032914,1.0,0.0,3
71032972,1.0,0.0,3
71032973,1.0,0.0,3
71033026,1.0,0.0,3
71033035,1.0,0.0,3
71033120,1.0,0.0,3
71033126,1.0,0.0,3
71033183,1.0,0.0,3
71033247,1.0,0.0,3
71033313,1.0,0.0,3
71033318,1.0,0.0,3
71033334,1.0,0.0,3
71033362,1.0,0.0,3
71033367,1.0,0.0,3
71034975,1.0,0.0,3
71035002,1.0,0.0,3
71035044,1.0,0.0,3
71035105,1.0,0.0,3
71035129,1.0,0.0,3
71035166,1.0,0.0,3
71035238,1.0,0.0,3
71035289,1.0,0.0,3
71035337,1.0,0.0,3
71035349,1.0,0.0,3
71035360,1.0,0.0,3
71035362,1.0,0.0,3
71035480,1.0,0.0,3
71035677,1.0,0.0,3
71035692,1.0,0.0,3
71035771,1.0,0.0,3
71035810,1.0,0.0,3
71035831,1.0,0.0,3
71035895,1.0,0.0,3
71035930,1.0,0.0,3
71035946,1.0,0.0,3
71035979,1.0,0.0,3
71036085,1.0,0.0,3
71036096,1.0,0.0,3
71036098,1.0,0.0,3
71036132,1.0,0.0,3
71036170,1.0,0.0,3
71036194,1.0,0.0,3
71036211,1.0,0.0,3
71036250,1.0,0.0,3
71036324,1.0,0.0,3
71036389,1.0,0.0,3
71036422,1.0,0.0,3
71036466,1.0,0.0,3
71037058,1.0,0.0,3
71037075,1.0,0.0,3
71037191,1.0,0.0,3
71037229,1.0,0.0,3
71037254,1.0,0.0,3
71037321,1.0,0.0,3
71037334,1.0,0.0,3
71037400,1.0,0.0,3
71037433,1.0,0.0,3
71037546,1.0,0.0,3
71037612,1.0,0.0,3
71037682,1.0,0.0,3
71037762,1.0,0.0,3
71037815,1.0,0.0,3
71037856,1.0,0.0,3
71037879,1.0,0.0,3
71037949,1.0,0.0,3
71037968,1.0,0.0,3
71037977,1.0,0.0,3
71037990,1.0,0.0,3
71038014,1.0,0.0,3
71038064,1.0,0.0,3
71038127,0.0,1.0,8
71038233,1.0,0.0,3
71038278,1.0,0.0,3
71038383,1.0,0.0,3
71038637,1.0,0.0,3
71038722,1.0,0.0,3
71038826,1.0,0.0,3
71038844,1.0,0.0,3
71038890,1.0,0.0,3
71038901,1.0,0.0,3
71038946,1.0,0.0,3
71038961,1.0,0.0,3
71039048,1.0,0.0,3
71039109,1.0,0.0,3
71039121,1.0,0.0,3
71039250,1.0,0.0,3
71039266,1.0,0.0,3
