,comb_0001,comb_0002,comb_0003,comb_0004,comb_0005,comb_0006,comb_0007,comb_0008,comb_0009,comb_0010,comb_0011,comb_0012,comb_0013,comb_0014,comb_0015,comb_0016,comb_0017,comb_0018,comb_0019
71022639,0.0090676639093233,0.0,0.0,0.0,0.0616376133836238,0.0722867092771329,0.0045154649548453,0.7757528342424718,0.0,0.0231222637687773,0.0536174504638255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022647,0.0030043219669524,0.0,0.0,0.000504998994445,0.0504600694449392,0.0374301105882687,0.0108103308810863,0.8409817717492006,0.0,0.0495763374546602,0.0072320589204473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022661,0.0132048706434684,0.0,0.0,0.0039568368931654,0.1499378049516792,0.043412255827869,0.0330604011073691,0.6783196746853687,0.0,0.0441498408079542,0.0339583150831254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022679,0.0224880736177027,0.0,0.0,0.0,0.0765963186978625,0.0171952147076813,0.0146782367504699,0.7891427735845727,0.0,0.0275868565310234,0.052312526110687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022693,0.0043418215658178,0.0,0.0,0.0,0.0306043689395631,0.0060385883961411,0.0085126671487332,0.8635508746449126,0.0,0.0472000382799961,0.0397516410248359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022754,0.0033162372619827,0.0,0.0001451310114653,0.0036891632914438,0.030456253406044,0.0193961855322986,0.0051804774092577,0.8398146693453588,0.0003237340255749,0.0693964414823188,0.0282817072342548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022780,0.0071707754661004,0.0,0.0,0.002040355132623,0.0370430824078003,0.0254114216517424,0.0045578092962576,0.8247578676092614,0.0012029170781896,0.0669008383485545,0.0309149330094706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022911,0.0048070078990528,0.0,0.0026306769447557,0.0223552285305401,0.0907370950945209,0.0347295952706784,0.0128631827298731,0.7514034352205277,0.0004575999903904,0.0635870006646729,0.0164291776549872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022945,0.0415566054234904,0.0,0.0,0.0223693496131003,0.114691466889129,0.049970660901819,0.0785717241285531,0.6127010800125331,0.0017309468926812,0.0753790093265014,0.0030291568121922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022992,0.0108998479128012,0.0,0.000182742998538,0.0202816258377469,0.0912568192699454,0.0308781017529751,0.0540772335673821,0.7072216213422271,3.9699999682400005e-05,0.0545111335639109,0.0306511737547906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023020,0.0057827720636104,0.0,0.0092839661021236,0.0134601151480612,0.0869896499568861,0.0281144033092584,0.0114299521257294,0.7637737474015112,0.0006147080067617,0.0707009887777108,0.0098496971083466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023103,0.0355786117039744,0.0,5.730000435480033e-05,0.0090738076896093,0.0999055055928184,0.0260970689833772,0.030733869335774,0.7577630265899901,0.0013553471030063,0.0355747777036831,0.003860685293412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
