COMID,lat,lon,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8,frac_9,frac_10,frac_11,frac_12,frac_13,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71033367,51.96525809,-113.9116205,8.48E-05,0,0,0,0.001771152,0.003210092,0,0.028335575,0,0.030253686,0,0,0,0.004197072,0.882035017,0.000271501,0.038380701,0.011460337,0
71034975,50.56092129,-113.9719258,0.002976889,0,0,0,0,0,0,0.084350087,0,0.230726272,0,0,0,0.000218061,0.568741024,0.006332488,0.078792505,0.027862668,0
71035002,50.5169477,-114.1148712,0.002387099,0,0,0,0,0,0,0.18529506,0,0.403957039,0,0,0,0,0.359523833,0.004788961,0.028962053,0.015085932,0
71035044,50.51465577,-114.183957,0.007145327,0,0,0,0,0,0,0.247231483,0,0.468740374,0,0,0,0.000206552,0.244419456,0.000645476,0.015821436,0.015789878,0
71035105,50.53179894,-114.2983942,0.01856258,0,0,0,0,0,0,0.551502109,0,0.332826406,0,0,0,0.000106395,0.043801621,0.003085459,0.030208871,0.019906566,0
71035129,50.54378383,-114.3705603,0.098679408,0,0,0,0,0,0,0.631504059,0,0.220601246,0,0,0,0,0.004960155,0.002001443,0.015114075,0.02713963,0
71035166,50.50200803,-114.4078507,0.095061891,0,0,0,0,0,0,0.674596786,0,0.19267337,0,0,0,0.001931412,0.003881053,0.001130582,0.016198488,0.014526386,0
71035238,50.95172671,-115.1166303,0.559261858,0,0,0,0,0,0,0.061478339,0,0.105881043,0,0,0,0,0,0.255202144,0.008195532,0.009981065,0
71035289,50.90623634,-115.1340627,0.56114465,0,0,0,0,0,0,0.229200751,0,0.10624449,0,0,0,0,0,0.074201994,0.027438888,0.001769225,0
71035337,50.87354092,-115.158319,0.630319715,0,0,0,0,0,0,0.077321649,0,0.069988512,0,0,0,0,0,0.199902564,0.018585375,0.00388218,0
71035349,50.47250826,-114.1452759,0.006697911,0,0,0,0,0,0,0.106749609,0,0.410406977,0,0,0,0,0.44127357,0.000625918,0.034246046,0,0
71035360,50.85393807,-115.1756505,0.697243392,0,0,0,0,0,0,0.052719701,0,0.126959741,0,0,0,0,0,0.084061176,0.039015945,0,0
71035362,50.41205522,-114.5004261,0.32061547,0,0,0,0.00036989,0.000303499,0,0.46597594,0,0.15907146,0,0,0,0.00045348,0.001234643,0.008268273,0.03582982,0.007877525,0
71035480,50.40024257,-114.6266834,0.499984741,0,0,0,0,0,0,0.097891226,0,0.212681785,0,0,0,0,0,0.174743235,0.014699031,0,0
71035677,50.39742673,-114.7069141,0.724026978,0,0,0,0,0,0,0.086922459,0,0.117233709,0,0,0,0,0,0.062121693,0.009064167,0.000630989,0
71035692,50.76418451,-115.1406077,0.51341027,0,0,0,0,0,0,0.077949718,0,0.13104865,0,0,0,0,0,0.258849889,0.017628971,0.000987055,0.000125396
71035771,50.71878811,-115.1590207,0.631761134,0,0,0,0,0,0,0.066724166,0,0.102710024,0,0,0,0,0,0.157653898,0.018761391,0.022389399,0
71035810,50.44281052,-114.2605298,0.002324911,0,0,0,0,0,0,0.431216568,0,0.419264495,0,0,0,0.00012547,0.12845704,0.000223447,0.01641823,0.001969873,0
71035831,50.88653736,-115.374842,0.118098781,0,0,0,0,0,0,0,0,0.026541606,0,0,0,0,0,0.005015425,0,0.850344181,0
71035895,50.46842014,-114.7532718,0.662788689,0,0,0,0,0,0,0.05759728,0,0.097427316,0,0,0,0.000134952,0,0.175269723,0.006489664,0.000292396,0
71035930,50.41435601,-114.1986791,0.001114771,0,0,0,0,0,0,0.355547726,0,0.345699668,0,0,0,0,0.279265493,9.19E-05,0.013013201,0.005267201,0
71035946,50.65848031,-115.1440531,0.569138527,0,0,0,0,0,0,0.024651112,0,0.069378681,0,0,0,0,0,0.101856992,0.02826586,0.206708819,0
71035979,50.85049702,-115.391254,0.590822756,0,0,0,0,0,0,0.023843195,0,0.061174039,0,0,0,0,0,0.163106129,0.004117283,0.155922562,0.001014053
71036085,50.54656188,-114.4180021,0.140423954,0,0,0,0,0,0,0.773765564,0,0.05671424,0,0,0,0,0.010645803,0,0.015602435,0.002848005,0
71036096,50.86852923,-115.4319138,0.563190818,0,0,0,0,0,0,0.014813365,0,0.159992412,0,0,0,0,0,0.116489232,0,0.145514175,0
71036098,50.32782269,-114.5758746,0.761134803,0,0,0,0,0,0,0.060666099,0,0.071755089,0,0,0,0,0,0.101346947,0.005097101,0,0
71036132,50.28681099,-114.5914106,0.815724969,0,0,0,0,0,0,0.037489083,0,0.098464072,0,0,0,0,0,0,0.048321854,0,0
71036170,50.4978182,-114.8336846,0.693837881,0,0,0,0,0,0,0.059666421,0,0.091076389,0,0,0,0,0,0.147191241,0.006037577,0.002075179,0.000115288
71036194,50.33856773,-114.2184186,0.00026244,0,0,0,0,0,0,0.652635813,0,0.328588247,0,0,0,5.53E-05,0.000560157,0,0.017530581,0.000367416,0
71036211,50.62151541,-115.1595427,0.376540154,0,0,0,0,0,0,0.023975849,0,0.086975671,0,0,0,0,0,0.265471339,0.008392367,0.231536955,0.007107687
71036250,50.36802063,-114.6412825,0.865980566,0,0,0,0,0,0,0.055340759,0,0.049465537,0,0,0,0,0,0,0.02921317,0,0
71036324,50.83247067,-115.4384774,0.827768862,0,0,0,0,0,0,0.024097528,0,0.030618943,0,0,0,0,0,0.116063014,0,0.001451649,0
71036389,50.86259961,-115.5048067,0.4106718,0,0,0,0,0,0,0.031857319,0,0.155223265,0,0,0,0,0,0.386709839,0,0.011283683,0.004254093
71036422,50.5095242,-114.4629424,0.25092715,0,0,0,0,0,0,0.588401496,0,0.112768754,0,0,0,0.000696626,0.032939523,0,0.014266395,0,0
71036466,50.25362116,-114.637318,0.833572388,0,0,0,0,0,0,0.074380286,0,0.08846274,0,0,0,0,0,0.001129591,0.002455046,0,0
71037058,50.21557566,-114.5914272,0.821291924,0,0,0,0,0,0,0.030104905,0,0.126262873,0,0,0,0,0,0.008185902,0.014154367,0,0
71037075,50.20514323,-114.6905701,0.807427049,0,0,0,0,0,0,0.057484355,0,0.062873609,0,0,0,0,0,0.06468302,0.007531881,0,0
71037191,50.24893058,-114.7230147,0.692163646,0,0,0,0,0,0,0.078034624,0,0.072421007,0,0,0,0,0,0.156142652,0,0.001238148,0
71037229,50.27870924,-114.2826565,0.106763959,0,0,0,7.90E-05,0,0,0.748235285,0,0.106634431,0,0,0,0.024964822,0.000289731,0,0.012258611,0.000774139,0
71037254,50.25829281,-114.5430135,0.59495455,0,0,0,0,0,0,0.015309221,0,0.221326187,0,0,0,0,0,0.166485891,0.001924241,0,0
71037321,50.33655639,-114.4619306,0.480184108,0,0,0,0.000718975,0.00011423,0,0.340489596,0,0.145487592,0,0,0,0.001181155,0.000683958,0.026507683,0.002240621,0.002392103,0
71037334,50.30991935,-114.6742282,0.852314174,0,0,0,0,0,0,0.061903346,0,0.032673422,0,0,0,0,0,0.045688827,0.007420185,0,0
71037400,50.32237485,-114.3401493,0.17351006,0,0,0,0.001242101,0.000469702,0,0.522481561,0,0.285901934,0,0,0,0.011139645,0,0,0.001319906,0.00393506,0
71037433,50.33395763,-114.7231286,0.599594653,0,0,0,0,0,0,0.042674378,0,0.10824804,0,0,0,0,0,0.248581305,0.000374369,0.000527282,0
