COMID,comb_0001,comb_0002,comb_0003,comb_0004,comb_0005,comb_0006,comb_0007,comb_0008,comb_0009,comb_0010,comb_0011,comb_0012,comb_0013,comb_0014,comb_0015
71026015,0.27490586461975003,0.0,0.08021307757256906,0.21645485269478285,0.0,0.11172684461884211,0.3166993604940558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026036,0.07268898619752019,0.0,0.10045287147053922,0.22110803970378923,0.0,0.08211443515108613,0.5236356674770652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026037,0.11508622006751848,0.0,0.07153675537977709,0.19301466143764184,0.0,0.08521930125029821,0.5351430618647643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026193,0.0,0.0,0.0,0.06458963401101481,0.0,0.06331781329999987,0.8720925526889853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026196,0.0651642211433938,0.08802731910380147,0.14849792424997904,0.25540775370135904,0.0,0.1040208876854657,0.338881894116001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026344,0.1424427303029615,0.05409180392477596,0.18416808205992352,0.16870093785561682,0.0,0.16492349770677697,0.2856729481499452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026572,0.2969772557649482,0.059046291925389974,0.1745968896938036,0.12485562302699325,0.0,0.14911325794464517,0.19541068164421976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026700,0.4251306681830912,0.08740880880574996,0.24761073376541395,0.08550170626993123,0.0,0.15434808297581368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71026853,0.34684044361271127,0.0,0.30270005229036767,0.15357880882134145,0.0,0.13999396181986876,0.05688673345571083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71027942,0.0,0.0,0.0,0.13299121431664207,0.14324180817490104,0.0,0.05452181289370843,0.0,0.6692451646147485,0.0,0.0,0.0,0.0,0.0,0.0
71027957,0.0,0.0,0.0,0.23423469549385184,0.41038122874654687,0.0,0.223935670898826,0.0,0.13144840486077522,0.0,0.0,0.0,0.0,0.0,0.0
71027962,0.0,0.0,0.0,0.16713406848534398,0.2518826455529621,0.0,0.0,0.0,0.4862308525280099,0.09475243343368406,0.0,0.0,0.0,0.0,0.0
