COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71023889,52.2104283031683,-114.313792600583,0.00224656169302762,0,0.000432299479143694,0.00230213114991784,0.0282910708338022,0.0094581488519907,0.00705892825499177,0.880229771137238,0.000102116442576516,0.0564622469246387,0.0134166674688458,0
71023895,52.5470733603786,-114.538287807077,0.0353958271443844,0,0.00761790061369538,0.0554649941623211,0.14962249994278,0.029722923412919,0.0630718991160393,0.619027197360992,0,0.0366860628128052,0.00339068658649921,0
71023936,52.7073123936472,-114.53470897145,0.120041109621525,0,0.0388317406177521,0.107416167855263,0.155674561858177,0.022608844563365,0.100704178214073,0.404573440551758,0.000727119215298444,0.0362579114735126,0.0131649589166045,0
71023982,52.2924143899451,-114.709422165415,0.0588957704603672,0,0.00057273922720924,0.021934736520052,0.123666696250439,0.0153078027069569,0.0557636320590973,0.67772388458252,0.00143182300962508,0.0441574677824974,0.000545465911272913,0
71023994,52.31255093011,-114.035910811116,0.00017363578081131,0,0.0089133707806468,0.0233868602663279,0.0500231832265854,0.0134173110127449,0.00579962227493525,0.560571670532227,0.0016398933948949,0.147039785981178,0.189034625887871,0
71024080,52.1364479955143,-114.586449397253,0.0966391637921333,0,0.00339081976562738,0.0325749553740025,0.213660776615143,0.0253299195319414,0.0476888529956341,0.533277988433838,0.00137678487226367,0.0363457500934601,0.00971497036516666,0
71024082,52.3969933506793,-114.514449985545,0.00163238635286689,0,0.00496762385591865,0.00801353342831135,0.0945568606257439,0.0182530488818884,0.0102461893111467,0.796103417873383,0,0.0662269443273544,0,0
71024128,52.4423161339707,-114.677730105914,0.0265143886208534,0,0.00201741978526115,0.0124329226091504,0.154794052243233,0.0392990075051785,0.0439873263239861,0.660204291343689,0.000681473000440747,0.0568882264196873,0.00318086403422058,0
71024198,52.0629667975723,-114.283990142409,0.00609797006472945,0,0.000181900162715465,0.002141616307199,0.0500424243509769,0.0222627688199282,0.00707764085382223,0.851359367370605,0.00171614100690931,0.0580489635467529,0.00107118987943977,0
71024229,52.2440776347079,-114.392939794675,0.00939543731510639,0,0.00120097037870437,0.00640709651634097,0.0361307747662067,0.0209860298782587,0.00720684323459864,0.853462398052216,0.000237368250964209,0.0627477467060089,0.00222532730549574,0
71024292,52.4753853411836,-114.482369036836,0.0147993993014097,0,0.000601088278926909,0.0186309013515711,0.089976966381073,0.0288620311766863,0.0318973623216152,0.752866148948669,0.00107592646963894,0.0536048971116543,0.00768529577180743,0
71024386,52.5622536820721,-114.447282884713,0,0,0,0,0.00932183209806681,0.00857256911695004,0.00315872393548489,0.924758672714233,0,0.053403165191412,0.000785003183409572,0
71024448,52.0079377519954,-114.695480745495,0.0588420815765858,0,0.00607408676296473,0.0834045261144638,0.361663579940796,0.0114752072840929,0.0391956120729446,0.370495796203613,0.000691678083967417,0.0405155867338181,0.0276418421417475,0
71024474,52.0174922945205,-114.772487157534,0.141034513711929,0,0.00825344305485487,0.133102253079414,0.366905570030212,0.0158127509057522,0.0821738317608833,0.193488448858261,0.000480467802844942,0.0358113311231136,0.022937374189496,0
71024483,52.0173012626262,-114.474552777778,0.0625475496053696,0,0.00118249596562237,0.0251215174794197,0.227866664528847,0.0574112385511398,0.0647796168923378,0.514087975025177,0.00447595631703734,0.0398020669817924,0.00272488221526146,0
71024488,52.0392737520129,-114.572193773484,0.105340957641602,0,0.00351375504396856,0.036439660936594,0.214654058218002,0.0259179342538118,0.0797762051224709,0.495265930891037,0.0014578205300495,0.0318005420267582,0.0058331242762506,0
71024578,52.1103994863251,-114.073127516313,0.00113457755651325,0,0.000177023001015186,0,0.0121910981833935,0.00872971583157778,0.0184032376855612,0.903739154338837,0.000543128524441272,0.0548548065125942,0.000227278200327419,0
71024598,52.0895960020372,-114.399542780749,0.0203140880912542,0,0.000103869155282155,0.00678307004272938,0.105873376131058,0.0168718378990889,0.0352674275636673,0.770609557628632,0,0.0349336117506027,0.00924318563193083,0
71024619,52.0967814381499,-114.716823515326,0.0878122746944427,0,0,0.0031608291901648,0.0821220129728317,0.0252743773162365,0.0453307554125786,0.689133167266846,0.00387227605096996,0.0592194236814976,0.00407487712800503,0
71024720,52.1266179538656,-114.384743052275,0.0240252893418074,0,0.00147926493082196,0.00940897967666388,0.13635116815567,0.0185744725167751,0.0506318770349026,0.709155917167664,0.000803373230155557,0.0454925447702408,0.00407711928710341,0
71024795,52.1555326660169,-114.504386106321,0.056672390550375,0,0.00114586914423853,0.0256067365407944,0.161291092634201,0.0104208625853062,0.086011677980423,0.611762404441833,0.000229684490477666,0.0342477560043335,0.0126114943996072,0
71024843,52.1377483487451,-114.288499559665,0.00122480362188071,0,0.000290265132207423,0.000813843158539385,0.0242297947406769,0.0095495693385601,0.00864921603351831,0.907317101955414,0.000134834495838732,0.0448724552989006,0.00291816075332463,0
71024862,52.1542185660395,-114.697707957904,0.0441786386072636,0,0.00329523719847202,0.015423976816237,0.157647401094437,0.0276089962571859,0.0393005795776844,0.670859515666962,0.000775197346229106,0.0394076332449913,0.00150286313146353,0
71024996,52.2034869594768,-114.185334437743,0.00373451691120863,0,7.2366492531728e-05,0.0025902665220201,0.0633228793740273,0.0358636491000652,0.0152660813182592,0.836034178733826,0,0.0395410694181919,0.00357490475289524,0
71025043,52.190003961042,-114.396993802134,0,0,0.00545088015496731,0.00975905358791351,0.0532793588936329,0.00874101463705301,0.00358044868335128,0.853479564189911,0.000452392938314006,0.0650429874658585,0.000214291387237608,0
71025044,52.2139480595933,-114.490808653716,0.0183074586093426,0,0.00423279125243425,0.0323156006634235,0.196487948298454,0.0174704920500517,0.0469104647636414,0.627680540084839,0,0.0463100709021091,0.0102846538648009,0
71025052,52.2055969286068,-114.617630614278,0.083319678902626,0,0.000207025863346644,0.0144968284294009,0.143641978502274,0.0273171365261078,0.0774048343300819,0.592519879341125,0.00120057968888432,0.0373512245714664,0.0225408095866442,0
71025086,52.1962077681653,-114.081118854356,0.00172829977236688,0,0.000227331824135035,0.00179561914410442,0.0268185026943684,0.00854385085403919,0.00942378118634224,0.905957281589508,0.000773728475905955,0.0402538441121578,0.00447775982320309,0
71025125,52.2460997766344,-114.724145377129,0.0937466397881508,0,0.00202644104138017,0.0213199444115162,0.166478991508484,0.0206186305731535,0.136650204658508,0.475599259138107,0.0013824685011059,0.0291558802127838,0.0530215725302696,0
71025142,52.2576065384281,-114.489821272791,0.00467198248952627,0,0.00457463646307588,0.0155634488910437,0.118490971624851,0.0195918641984463,0.0148760173469782,0.767393529415131,0.000357123091816902,0.045931801199913,0.00854858197271824,0
71025201,52.2646503445999,-114.047536626635,0.00173195649404079,0,0.00252666231244802,0.00524891028180718,0.0316753126680851,0.0109902611002326,0.00442547630518675,0.723626852035522,0.000549156917259097,0.0487839616835117,0.170441389083862,0
71025219,52.2652051532363,-114.594393858715,0.025972031056881,0,0.00107481435406953,0.0199361424893141,0.133637577295303,0.0137732792645693,0.0499040260910988,0.704671144485474,0.000514767016284168,0.0326174981892109,0.0178987327963114,0
71025298,52.2929284553946,-114.411941812193,0.0119340708479285,0,0.000879174331203103,0.00991133041679859,0.0672979205846786,0.0220015645027161,0.0103731444105506,0.812423646450043,0.00123012240510434,0.050903856754303,0.0130452094599605,0
71025323,52.298376176875,-114.141836454036,0.00522852642461658,0,0.000245046860072762,0.00360307772643864,0.0471948385238647,0.0128600792959332,0.0073406589217484,0.623631179332733,0.0019234474748373,0.222857758402824,0.075115405023098,0
71025411,52.3435585174366,-114.282864098351,0.00714549748227,0,0.00021842130809091,0.00156015227548778,0.0675448998808861,0.0284241661429405,0.0203941464424133,0.804726123809814,0.000530451769009233,0.0476764440536499,0.0217797253280878,0
71025440,52.3501704046806,-114.778159678206,0.0228700768202543,0,0.000616694160271436,0.0142610091716051,0.171195536851883,0.0375364311039448,0.103402383625507,0.610345065593719,0.00211676117032766,0.0376560427248478,0,0
71025547,52.3691923806311,-114.189692878839,0.00164888065773994,0,0.0136980880051851,0.0477421395480633,0.0534384734928608,0.012257088907063,0.00725033786147833,0.46901461482048,0.00038748694350943,0.0418467782437801,0.352716118097305,0
71025568,52.4203828528579,-114.596627923124,0.015393435023725,0,0.00113133457489312,0.00570719689130783,0.059148833155632,0.0155760431662202,0.0402371883392334,0.812685251235962,0.000798770401161164,0.0434453152120113,0.00587666779756546,0
